retail client,article code,promotion type,week,year
Plus,802315,week,1,2018
Plus,811076,weekend,1,2018
Detailresult,841656,week,1,2018
Coop,841878,week,1,2018
Linders,817618,week,1,2018
Vomar,842428,week,1,2018
Poiesz,882071,week,1,2018
Poiesz,882507,week,1,2018
Jumbo,805699,regular,1,2018
Jumbo,874991,regular,1,2018
Jumbo,884863,regular,1,2018
Jumbo,874836,regular,1,2018
Jumbo,884638,regular,1,2018
Jumbo,811328,regular,1,2018
Jumbo,806540,regular,1,2018
Hoogvliet,259121,regular,2,2018
Plus,801642,week,2,2018
Plus,802315,week,2,2018
Vomar,231643,week,2,2018
Detailresult,259668,week,2,2018
Detailresult,841656,regular,2,2018
Detailresult,808702/808701,week,2,2018
Deen,881005,week,2,2018
Smeding,808537,regular,2,2018
Smeding,808569,regular,2,2018
Smeding,808573,regular,2,2018
Smeding,831220,regular,2,2018
Boni,883076,regular,2,2018
Poiesz,847259,week,2,2018
Jumbo,805699,regular,2,2018
Jumbo,874991,regular,2,2018
Jumbo,884863,regular,2,2018
Jumbo,874836,regular,2,2018
Jumbo,884638,regular,2,2018
Jumbo,811328,regular,2,2018
Jumbo,806540,regular,2,2018
Jumbo,,regular,2,2018
Plus,880684,week,3,2018
Smeding,808537,regular,3,2018
Smeding,808569,regular,3,2018
Smeding,808573,regular,3,2018
Smeding,831220,regular,3,2018
Detailresult,808702,regular,3,2018
Detailresult,874991,week,3,2018
Detailresult,259668,regular,3,2018
Coop,876385,week,3,2018
Hoogvliet,808719,regular,3,2018
Hoogvliet,813408,regular,3,2018
Vomar,875511,week,3,2018
Poiesz,808719,week,3,2018
Poiesz,882069,week,3,2018
Poiesz,880683,week,3,2018
Jumbo,805699,regular,3,2018
Jumbo,874991,regular,3,2018
Jumbo,884863,regular,3,2018
Jumbo,874836,regular,3,2018
Jumbo,884638,regular,3,2018
Jumbo,811328,regular,3,2018
Jumbo,806540,regular,3,2018
Jumbo,885176,regular,3,2018
Picnic,884246,regular,3,2018
Plus,873045,week,4,2018
Plus,808719,week,4,2018
Plus,884932,week,4,2018
Plus,875368,week,4,2018
Plus,805881,week,4,2018
Detailresult,882065,week,4,2018
Detailresult,877396,week,4,2018
Linders,231643,week,4,2018
Jumbo,805699,regular,4,2018
Jumbo,874991,regular,4,2018
Jumbo,884863,regular,4,2018
Jumbo,874836,regular,4,2018
Jumbo,884638,regular,4,2018
Jumbo,811328,regular,4,2018
Jumbo,806540,regular,4,2018
Vomar,871251,regular,4,2018
Vomar,808719,week,4,2018
Boni,872479,regular,4,2018
Poiesz,875070,week,4,2018
Boon,259121,week,4,2018
Picnic,884776,regular,4,2018
Picnic,882258,regular,4,2018
Jumbo,883575,regular,4,2018
Deen,808481,week,5,2018
Jumbo,885180/885178/885179/885177,regular,5,2018
Jumbo,842236,regular,5,2018
Jumbo,874729,regular,5,2018
Jumbo,805924,regular,5,2018
Jumbo,878567,regular,5,2018
Jumbo,874991,regular,5,2018
Jumbo,,regular,5,2018
Smeding,,regular,5,2018
Detailresult,,regular,5,2018
Detailresult,819597/874991,week,5,2018
Vomar,259121,week,5,2018
Plus,801507,weekend,5,2018
Plus,822184,week,5,2018
Jan Linders,817618,week,5,2018
Poiesz,875070,week,5,2018
Poiesz,847259,week,5,2018
Picnic,881809,regular,5,2018
Picnic,882258,regular,5,2018
Picnic,881848,regular,5,2018
Picnic,881842,regular,5,2018
Detailresult,259668,week,6,2018
Detailresult,877396,week,6,2018
Plus,819583,week,6,2018
Plus,801642,week,6,2018
Plus,805719,week,6,2018
Plus,885311,regular,6,2018
Plus,881962,regular,6,2018
Plus,874131,regular,6,2018
Poiesz,231643,week,6,2018
Poiesz,811293,week,6,2018
Jumbo,885180/885178/885179/885177,regular,6,2018
Jumbo,842236,regular,6,2018
Jumbo,874729,regular,6,2018
Jumbo,805924,regular,6,2018
Jumbo,878567,regular,6,2018
Jumbo,874991,regular,6,2018
Jumbo,885565,regular,6,2018
Jumbo,842865,regular,6,2018
Boni,871251,regular,6,2018
Boni,817618,regular,6,2018
Smeding,808481,regular,7,2018
Detailresult,874991,week,7,2018
Detailresult,841656,week,7,2018
Plus,885311,week,7,2018
Plus,875369,weekend,7,2018
Plus,865387,week,7,2018
Coop,876385,week,7,2018
Vomar,805981,week,7,2018
Vomar,869518,regular,7,2018
Vomar,865387,week,7,2018
Boon,231643,week,7,2018
Jumbo,885180/885178/885179/885177,regular,7,2018
Jumbo,842236,regular,7,2018
Jumbo,874729,regular,7,2018
Jumbo,805924,regular,7,2018
Jumbo,878567,regular,7,2018
Jumbo,874991,regular,7,2018
Jumbo,885565,regular,7,2018
Jumbo,885622,regular,7,2018
Hoogvliet,259121,regular,8,2018
Plus,259668,week,8,2018
Plus,822184,week,8,2018
Plus,801526,weekend,8,2018
Plus,801642,weekend,8,2018
Detailresult,841828,week,8,2018
Detailresult,808538,week,8,2018
Detailresult,808412,week,8,2018
Boni,884961,regular,8,2018
Boni,872479,regular,8,2018
Boni,817618,regular,8,2018
Boon,259121,week,8,2018
Jumbo,885180/885178/885179/885177,regular,8,2018
Jumbo,842236,regular,8,2018
Jumbo,874729,regular,8,2018
Jumbo,805924,regular,8,2018
Jumbo,878567,regular,8,2018
Jumbo,874991,regular,8,2018
Jumbo,885565,regular,8,2018
Jumbo,885622,regular,8,2018
Jumbo,819583,regular,8,2018
Poiesz,885935,week,9,2018
Poiesz,882507,week,9,2018
Poiesz,869518,week,9,2018
Picnic,882843,regular,9,2018
Detailresult,259668,week,9,2018
Detailresult,841656,week,9,2018
Detailresult,808701,week,9,2018
Detailresult,811366,week,9,2018
Plus,885311,week,9,2018
Plus,805719,weekend,9,2018
Vomar,812714,week,9,2018
Vomar,812375,week,9,2018
Vomar,805981,week,9,2018
Poiesz,874991,week,9,2018
Boon,885577,week,9,2018
Jumbo,874836/874835,regular,9,2018
Jumbo,264642,regular,9,2018
