type,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,X,Y,quality
red,7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,-5133.03706454214,274269.661219616,5
red,7.8,0.88,0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8,-19891.4040703886,200352.226164422,5
red,7.8,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8,-20344.6348644553,223184.242997877,5
red,11.2,0.28,0.56,1.9,0.075,17,60,0.998,3.16,0.58,9.8,-39206.7465441114,233633.249037451,6
red,7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,-30277.8064436427,223382.332306797,5
red,7.4,0.66,0,1.8,0.075,13,40,0.9978,3.51,0.56,9.4,-3479.2176020775,202207.494503169,5
red,7.9,0.6,0.06,1.6,0.069,15,59,0.9964,3.3,0.46,9.4,-33852.294526355,213748.627633366,5
red,7.3,0.65,0,1.2,0.065,15,21,0.9946,3.39,0.47,10,-12766.0935988309,199255.687336506,7
red,7.8,0.58,0.02,2,0.073,9,18,0.9968,3.36,0.57,9.5,-23069.9549566133,201810.854143843,7
red,7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,-28100.5555818627,262625.236323301,5
red,6.7,0.58,0.08,1.8,0.097,15,65,0.9959,3.28,0.54,9.2,-19389.1655666867,236786.496831877,5
red,7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,-27054.9482895261,267809.714774135,5
red,5.6,0.615,0,1.6,0.089,16,59,0.9943,3.58,0.52,9.9,-38367.5086340372,239026.704383801,5
red,7.8,0.61,0.29,1.6,0.114,9,29,0.9974,3.26,1.56,9.1,-28120.0387430474,267072.469206769,5
red,8.9,0.62,0.18,3.8,0.176,52,145,0.9986,3.16,0.88,9.2,-21680.1578368003,220047.048807064,5
red,8.9,0.62,0.19,3.9,0.17,51,148,0.9986,3.17,0.93,9.2,-18077.3108983503,193860.467639583,5
red,8.5,0.28,0.56,1.8,0.092,35,103,0.9969,3.3,0.75,10.5,-33810.9139117526,228737.69167119,7
red,8.1,0.56,0.28,1.7,0.368,16,56,0.9968,3.11,1.28,9.3,-10255.5659204278,270260.235465468,5
red,7.4,0.59,0.08,4.4,0.086,6,29,0.9974,3.38,0.5,9,-38463.2410516474,215853.487893348,4
red,7.9,0.32,0.51,1.8,0.341,17,56,0.9969,3.04,1.08,9.2,-16587.53401367,193681.344459516,6
red,8.9,0.22,0.48,1.8,0.077,29,60,0.9968,3.39,0.53,9.4,-21948.5086614919,196983.657798354,6
red,7.6,0.39,0.31,2.3,0.082,23,71,0.9982,3.52,0.65,9.7,-26792.2687391176,223022.011266147,5
red,7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,-28776.3164198884,192083.58283726,5
red,8.5,0.49,0.11,2.3,0.084,9,67,0.9968,3.17,0.53,9.4,-15295.2140637112,269645.300453207,5
red,6.9,0.4,0.14,2.4,0.085,21,40,0.9968,3.43,0.63,9.7,-49614.2481241164,224319.831345003,6
red,6.3,0.39,0.16,1.4,0.08,11,23,0.9955,3.34,0.56,9.3,-20509.2611592596,217545.408761112,5
red,7.6,0.41,0.24,1.8,0.08,4,11,0.9962,3.28,0.59,9.5,4757.14338454063,186691.828676015,5
red,7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,9271.437298489,199882.909123221,5
red,7.1,0.71,0,1.9,0.08,14,35,0.9972,3.47,0.55,9.4,11782.7586556003,190504.758910937,5
red,7.8,0.645,0,2,0.082,8,16,0.9964,3.38,0.59,9.8,19060.0811181735,202790.598425231,6
red,6.7,0.675,0.07,2.4,0.089,17,82,0.9958,3.35,0.54,10.1,-26168.1721994504,263423.870685245,5
red,6.9,0.685,0,2.5,0.105,22,37,0.9966,3.46,0.57,10.6,-277.173805476847,188793.978824201,6
